name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Type,popular
Jaisalmer,No,No,3.7,57,St. Marks Road,Casual Dining,"North Indian, Chinese",700.0,Dine-out,0
Aaha,Yes,No,3.6,94,Brookefield,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
The Choux Box,No,No,3.5,11,Koramangala 6th Block,"Takeaway, Delivery","Desserts, Bakery",300.0,Delivery,0
McDonald's,Yes,No,3.6,262,Bellandur,Quick Bites,"Burger, Fast Food",500.0,Delivery,0
Absolute Chinese,Yes,No,3.8,209,Rajajinagar,Quick Bites,others,450.0,Delivery,0
Wok With Chung,No,No,3.8,690,Marathahalli,Casual Dining,"Chinese, Thai",1000.0,Delivery,0
Over The Top Terrace Lounge,No,Yes,3.9,1389,Koramangala 5th Block,others,others,1400.0,Dine-out,0
Kolkata Famous Kati Rolls,No,No,3.4,8,Old Airport Road,others,"Fast Food, Rolls",150.0,Dine-out,0
Jalsa,Yes,Yes,4.1,783,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Dine-out,1
b CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© - Shangri-La Hotel,No,Yes,4.3,429,others,others,others,3400.0,Dine-out,1
Swaadpurna,Yes,No,3.6,51,others,Casual Dining,others,450.0,Dine-out,0
Abhiruchi Restaurant,Yes,No,3.4,6,Sarjapur Road,Casual Dining,others,400.0,Delivery,0
New Alameen Restaurant,Yes,No,3.4,23,Ulsoor,Quick Bites,others,300.0,Dine-out,0
Cupcake Bliss,Yes,No,3.3,6,Brookefield,Bakery,Bakery,250.0,Delivery,0
Punjabi Dhaba And Family Restaurant,No,No,3.700141861024285,0,Electronic City,Quick Bites,"North Indian, Chinese",250.0,Dine-out,0
Hotel Savaji's,No,No,3.5,36,Rajajinagar,Quick Bites,South Indian,300.0,Dine-out,0
Pasta Street,Yes,Yes,4.5,1670,Indiranagar,Casual Dining,others,1300.0,Delivery,1
Flavour of Himalaya,Yes,No,3.7,24,Koramangala 5th Block,Quick Bites,others,500.0,Delivery,0
Rolla Rappa,Yes,No,3.6,176,HSR,Delivery,others,400.0,Delivery,0
New Salem Spices,No,No,3.5,50,Banaswadi,Casual Dining,others,600.0,Dine-out,0
Sree Vinayaka Puttukada,No,No,3.700141861024285,0,Indiranagar,Quick Bites,"Kerala, South Indian",250.0,Dine-out,0
Durbari Restaurant,No,No,3.2,4,JP Nagar,Casual Dining,others,600.0,Delivery,0
Upahar Banashree,Yes,No,3.4,18,Bannerghatta Road,Quick Bites,"South Indian, North Indian",400.0,Delivery,0
Big Mummy,Yes,No,3.9,214,Indiranagar,Quick Bites,others,400.0,Delivery,0
Hungry Haters,Yes,No,3.700141861024285,0,JP Nagar,others,"Chinese, North Indian",300.0,Delivery,0
Yummy Pot,Yes,No,3.700141861024285,0,HSR,Quick Bites,North Indian,300.0,Delivery,0
Citrus Cafe - Lemon Tree Premier,No,Yes,3.9,183,Ulsoor,Casual Dining,others,2200.0,Buffet,0
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,others,550.0,Delivery,1
Swadesh Tadka,Yes,No,3.5,179,Banashankari,Casual Dining,others,600.0,Dine-out,0
Rolls On Wheel,No,No,3.0,18,Koramangala 5th Block,Quick Bites,"Fast Food, Rolls",300.0,Dine-out,0
Oven Lovin',No,No,3.700141861024285,0,Brigade Road,"Takeaway, Delivery","Desserts, Bakery",300.0,Desserts,0
Panchavati Gaurav Thali,Yes,Yes,4.0,929,Brigade Road,Casual Dining,others,800.0,Delivery,1
Golden Fork,No,No,3.700141861024285,0,Whitefield,Quick Bites,"South Indian, Chinese, North Indian",200.0,Dine-out,0
New Ambur Biryani,No,No,3.700141861024285,0,Brookefield,Quick Bites,"Biryani, Kebab",300.0,Dine-out,0
Cake Paradise,Yes,No,3.700141861024285,0,Jayanagar,Bakery,"Bakery, Desserts",350.0,Delivery,0
House of Torte,Yes,No,3.8,60,others,others,others,450.0,Delivery,0
Hotel Annapoorna,Yes,No,3.2,9,Bannerghatta Road,Quick Bites,others,400.0,Delivery,0
Best Biryani,No,No,3.700141861024285,0,Bellandur,Quick Bites,others,300.0,Delivery,0
Chaatimes,Yes,No,3.4,47,BTM,Quick Bites,others,200.0,Delivery,0
The French Loaf,Yes,No,3.5,138,Indiranagar,others,others,400.0,Dine-out,0
Mountain Spice,Yes,No,3.9,188,others,Quick Bites,others,400.0,Delivery,0
Checkpost,Yes,No,4.1,956,JP Nagar,Casual Dining,others,600.0,Dine-out,1
Dindigul Thalappakatti,Yes,No,4.2,326,Indiranagar,Casual Dining,others,800.0,Delivery,1
India On Wheels,Yes,No,3.6,11,others,Delivery,North Indian,400.0,Delivery,0
Hot Cross Bun,Yes,No,3.3,4,Koramangala 6th Block,"Takeaway, Delivery",Fast Food,500.0,Delivery,0
Bombay Kulfis,Yes,No,3.9,27,Koramangala 5th Block,Dessert Parlor,Ice Cream,200.0,Delivery,0
Cafe Conico,No,No,3.700141861024285,0,Bannerghatta Road,Cafe,others,600.0,Cafes,0
Delish Mom Food,No,No,3.700141861024285,0,Electronic City,Delivery,others,300.0,Delivery,0
Siddique Kabab Centre,Yes,No,3.9,430,Frazer Town,Casual Dining,others,550.0,Delivery,0
Niice Cream,No,No,3.8,38,Koramangala 5th Block,Dessert Parlor,others,400.0,Desserts,0
Homemade,No,No,3.700141861024285,0,Koramangala 1st Block,"Takeaway, Delivery",North Indian,450.0,Delivery,0
Food Springs,Yes,No,4.0,232,Jayanagar,Quick Bites,"South Indian, Chinese",400.0,Dine-out,1
Essential Kitchen,No,No,3.3,4,others,Quick Bites,others,500.0,Dine-out,0
Sai Sagar Food Court,No,No,3.700141861024285,0,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300.0,Dine-out,0
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.2,382,Ulsoor,Cafe,others,500.0,Dine-out,1
Bhaijaan Barbeques,Yes,No,3.5,9,others,others,others,200.0,Delivery,0
Spicy Menu,No,No,3.700141861024285,0,HSR,Quick Bites,"Chinese, Thai",250.0,Delivery,0
Indori Chatorey,Yes,No,2.8,137,BTM,Quick Bites,"North Indian, Street Food",300.0,Dine-out,0
One Stop MARATHA,No,No,3.1,39,Koramangala 6th Block,Quick Bites,others,250.0,Dine-out,0
Sambhram,No,No,3.700141861024285,0,Malleshwaram,Quick Bites,"South Indian, Biryani",250.0,Dine-out,0
Mr. Meetharam,Yes,No,3.2,34,JP Nagar,Quick Bites,"Mithai, Street Food",150.0,Delivery,0
Cane-O-La,Yes,No,3.8,61,Basavanagudi,Quick Bites,others,100.0,Delivery,0
Big Bites,No,No,3.6,21,Jayanagar,Quick Bites,others,200.0,Dine-out,0
KC Das - Sweet Bite,No,No,3.5,20,Frazer Town,others,"Mithai, Street Food",200.0,Desserts,0
Aasife & Brothers Biriyani Centre,Yes,No,3.9,125,HSR,Casual Dining,others,600.0,Delivery,0
Mylari Biryani Family Restaurant,Yes,No,3.7,73,Banashankari,Quick Bites,"Biryani, Fast Food",400.0,Dine-out,0
Sri Banashankari Biryani Kabab Centre,No,No,3.700141861024285,0,Bannerghatta Road,Quick Bites,"Biryani, Fast Food",100.0,Delivery,0
TOKI Taco House,Yes,No,3.6,72,Koramangala 6th Block,Quick Bites,others,200.0,Dine-out,0
Ambujam's Chettinad Mess,Yes,No,3.5,20,Banaswadi,others,others,400.0,Delivery,0
Food Singh,Yes,No,3.700141861024285,0,JP Nagar,Delivery,North Indian,500.0,Delivery,0
9 Tea,No,No,3.700141861024285,0,Bannerghatta Road,"Takeaway, Delivery",others,200.0,Delivery,0
Baahubelly,Yes,No,3.7,68,Brigade Road,Casual Dining,"South Indian, North Indian",500.0,Delivery,0
Mummy's Kitchen,Yes,No,3.7,16,Old Airport Road,Quick Bites,others,300.0,Delivery,0
Dhyaana,Yes,No,4.4,154,Indiranagar,Cafe,others,600.0,Delivery,1
Squeez Juice Bar,No,No,3.8,107,Whitefield,others,others,400.0,Dine-out,0
The Beer Cafe,Yes,Yes,4.2,1179,Koramangala 4th Block,others,others,1300.0,Drinks & nightlife,1
Polamma's Mess,Yes,No,4.2,185,BTM,others,"North Indian, Chinese, Biryani",300.0,Delivery,1
Cakes Wagon,Yes,No,3.4,6,Bellandur,others,"Desserts, Bakery",300.0,Desserts,0
Al Hayath Ambur Biryani,No,No,3.3,9,Ejipura,Quick Bites,Biryani,200.0,Dine-out,0
Casa Express,No,No,2.6,26,Residency Road,Quick Bites,others,400.0,Delivery,0
Cirkus,No,Yes,4.3,331,HSR,others,others,1400.0,Dine-out,1
Shree Udupi Grand,Yes,No,3.8,16,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese",600.0,Delivery,0
Totus,Yes,No,3.700141861024285,0,BTM,Quick Bites,Chinese,300.0,Delivery,0
Sherlock's Pub,No,Yes,3.6,180,Electronic City,others,others,1300.0,Pubs and bars,0
Sweet Chariot Cafe,Yes,No,3.8,113,Residency Road,Dessert Parlor,"Desserts, Bakery",500.0,Dine-out,0
Temptation,No,No,3.700141861024285,0,Whitefield,Quick Bites,"North Indian, South Indian",300.0,Delivery,0
Handi Biryani,Yes,No,3.9,84,Marathahalli,Quick Bites,others,300.0,Delivery,0
Pumpkin Food Workshop,No,No,3.700141861024285,0,Bannerghatta Road,Quick Bites,others,350.0,Dine-out,0
Easy Bites,Yes,No,4.1,74,BTM,"Takeaway, Delivery",others,300.0,Delivery,1
Somilan Steak House,No,No,4.3,524,Church Street,Casual Dining,others,800.0,Dine-out,1
Kanthari Food Court,No,No,3.700141861024285,0,Bellandur,others,Kerala,150.0,Dine-out,0
Kamat Hotel,No,No,3.6,62,Shivajinagar,Casual Dining,"North Indian, South Indian, Chinese",450.0,Dine-out,0
Ice Stone Creamery,Yes,No,3.7,42,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",400.0,Delivery,0
Panchamuki Fastfood,No,No,3.5,12,HSR,Quick Bites,others,300.0,Dine-out,0
Royal Tea House,No,No,3.700141861024285,0,Shivajinagar,Quick Bites,North Indian,100.0,Dine-out,0
Palos,Yes,No,3.3,44,Marathahalli,Quick Bites,"Chinese, North Indian",300.0,Delivery,0
MRA,Yes,No,3.7,25,HSR,"Takeaway, Delivery",Bakery,200.0,Delivery,0
Spar Refresh,No,No,3.4,5,Bannerghatta Road,others,others,300.0,Dine-out,0
Happie Hippies,No,No,3.700141861024285,0,others,Quick Bites,others,500.0,Dine-out,0
Sbarro,Yes,No,3.3,80,Whitefield,others,Pizza,500.0,Delivery,0
Bombay Adda,No,Yes,4.4,2362,Koramangala 7th Block,"Casual Dining, Bar",others,1100.0,Dine-out,1
Little White Kitchen,Yes,No,3.8,19,Brigade Road,Quick Bites,others,200.0,Dine-out,0
The Waffle Street,Yes,No,3.9,46,HSR,others,others,300.0,Delivery,0
Nammura Donne Biriyani,Yes,No,3.6,68,BTM,Quick Bites,"Andhra, Biryani",300.0,Delivery,0
Prawn Crunch,Yes,No,3.3,8,BTM,Quick Bites,others,400.0,Dine-out,0
Malleseari's Multi Cuisine Restaurant,No,No,3.700141861024285,0,JP Nagar,Quick Bites,"North Indian, South Indian",150.0,Dine-out,0
Iyengar's Bakery,No,No,3.700141861024285,0,JP Nagar,Bakery,"Bakery, Fast Food",600.0,Delivery,0
Kaati Zone,No,No,2.8,26,Malleshwaram,Quick Bites,others,350.0,Dine-out,0
Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,others,750.0,Dine-out,0
Kabab Nation Corner,Yes,No,3.5,75,Brigade Road,Quick Bites,others,500.0,Delivery,0
Pabrai's Fresh & Naturelle Icecreams,Yes,No,4.2,131,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",180.0,Delivery,1
Ente Keralam,Yes,No,4.0,1095,Ulsoor,Casual Dining,others,1300.0,Delivery,1
Chai Point,Yes,No,3.9,61,Bellandur,others,others,250.0,Dine-out,0
Potful,Yes,No,4.1,1128,Domlur,Delivery,others,650.0,Delivery,1
Tata Cha,Yes,No,3.2,9,Malleshwaram,others,others,500.0,Delivery,0
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,others,700.0,Delivery,0
Tattva Cafe,No,No,2.8,227,Koramangala 6th Block,Cafe,Cafe,450.0,Dine-out,0
The Waffles Hut,Yes,No,3.6,17,Malleshwaram,Dessert Parlor,Desserts,400.0,Desserts,0
TAB - Take A Break,No,No,4.1,522,JP Nagar,Cafe,others,550.0,Cafes,1
Balaji Biriyani Corner,No,No,3.700141861024285,0,others,Quick Bites,others,350.0,Dine-out,0
Biryani Club,No,No,2.9,31,others,Quick Bites,"South Indian, Biryani",400.0,Dine-out,0
The Iris Kafe,No,No,3.700141861024285,0,Marathahalli,Cafe,others,300.0,Cafes,0
China Bowl,Yes,No,3.9,457,Koramangala 6th Block,Casual Dining,Chinese,1000.0,Dine-out,0
SLV Ragigudda,Yes,No,3.700141861024285,0,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400.0,Delivery,0
Aromas Of South,Yes,No,3.7,46,others,Casual Dining,South Indian,1000.0,Delivery,0
Cake Dilim,Yes,No,3.700141861024285,0,others,Bakery,Bakery,500.0,Delivery,0
Tindipotha,No,No,3.700141861024285,0,Kammanahalli,Quick Bites,others,300.0,Delivery,0
Chakh Le india,Yes,No,3.2,7,others,Quick Bites,"North Indian, Chinese",250.0,Delivery,0
Treat Restaurant,Yes,No,2.8,32,Whitefield,Quick Bites,others,400.0,Delivery,0
Ambur Biryani,No,No,3.5,17,others,Quick Bites,others,250.0,Dine-out,0
Sri Rama Coffee Shop,No,No,3.700141861024285,0,Shivajinagar,Quick Bites,South Indian,100.0,Dine-out,0
Ithaca - The Chancery Pavilion,No,Yes,3.9,312,Residency Road,others,others,2000.0,Buffet,0
Aliyar Cafe Sweet Palace,No,No,3.700141861024285,0,Jayanagar,Quick Bites,others,250.0,Dine-out,0
Chulha Chauki Da Dhaba,Yes,No,4.3,2420,JP Nagar,Casual Dining,North Indian,800.0,Dine-out,1
China South,Yes,No,3.700141861024285,0,Brigade Road,Casual Dining,others,600.0,Delivery,0
Call A Cake,Yes,No,3.6,41,BTM,Delivery,Bakery,500.0,Desserts,0
Sugary Bakers - A Boutique Bakery,No,No,3.700141861024285,0,others,Bakery,"Bakery, Desserts",200.0,Desserts,0
Hungry Queen,Yes,No,3.6,46,HSR,"Takeaway, Delivery","North Indian, Chinese, Fast Food",300.0,Delivery,0
Rolls Corner,No,No,3.700141861024285,0,Brigade Road,Quick Bites,others,300.0,Delivery,0
Rajveena Kitchen,Yes,No,3.7,28,BTM,Quick Bites,others,500.0,Delivery,0
BIB - Breakfast in the Box,Yes,No,3.8,211,HSR,Delivery,others,600.0,Delivery,0
Starnese,No,No,3.4,6,Whitefield,Casual Dining,"North Indian, Chinese, South Indian",800.0,Dine-out,0
Big Wong XL,No,Yes,4.5,686,Koramangala 5th Block,Casual Dining,others,1400.0,Delivery,1
Fruit Face,Yes,No,3.6,21,Indiranagar,others,others,300.0,Delivery,0
Kamat Delicacy,No,No,3.700141861024285,0,others,Quick Bites,"South Indian, North Indian, Chinese",300.0,Dine-out,0
MISU,Yes,Yes,4.6,1211,St. Marks Road,"Casual Dining, Bar",others,1700.0,Drinks & nightlife,1
Beijing Bites,Yes,No,3.8,355,Sarjapur Road,Casual Dining,"Chinese, Thai",850.0,Dine-out,0
The Taste Adda,No,No,3.700141861024285,0,Ulsoor,Quick Bites,others,200.0,Dine-out,0
Little Bites,No,No,3.6,7,MG Road,others,"Cafe, Fast Food",200.0,Cafes,0
Third Wave Coffee Roasters @ The Bohemian House,No,No,3.700141861024285,0,Richmond Road,Cafe,others,800.0,Desserts,0
Breezy Cow Bar,Yes,No,4.0,96,Kalyan Nagar,others,Beverages,400.0,Delivery,1
Burger Crush,No,No,3.2,4,Sarjapur Road,Delivery,Fast Food,500.0,Delivery,0
Enroute,No,No,3.6,31,Electronic City,"Takeaway, Delivery",others,300.0,Delivery,0
Biggies Burger 'n' More,Yes,No,3.8,208,BTM,others,others,400.0,Delivery,0
Sultans of Spice,Yes,Yes,4.5,3467,Koramangala 5th Block,Casual Dining,others,1300.0,Delivery,1
Palki's,No,No,3.0,155,Bellandur,Casual Dining,"North Indian, Biryani",800.0,Buffet,0
Bhojohori Manna,Yes,No,4.1,1962,Koramangala 6th Block,Casual Dining,others,650.0,Dine-out,1
Melting Melodies,Yes,No,3.700141861024285,0,Koramangala 1st Block,Bakery,"Bakery, Desserts",600.0,Desserts,0
Sri Sai Sagar Food,No,No,3.700141861024285,0,MG Road,Quick Bites,others,300.0,Delivery,0
Indira Darshini,Yes,No,3.5,21,others,Quick Bites,"South Indian, Chinese",200.0,Dine-out,0
Zero Kelvin,Yes,No,4.3,169,Koramangala 4th Block,Dessert Parlor,"Desserts, Beverages",450.0,Desserts,1
Sapfresh,No,No,3.700141861024285,0,Koramangala 4th Block,Delivery,Beverages,150.0,Delivery,0
Retro Lounge Bar,No,Yes,3.8,110,Ulsoor,others,"North Indian, Chinese",1400.0,Pubs and bars,0
Faasos,Yes,No,3.8,140,Kammanahalli,Quick Bites,others,500.0,Delivery,0
Prawn Crunch,Yes,No,3.3,8,BTM,Quick Bites,others,400.0,Dine-out,0
Royal Tea House,No,No,3.700141861024285,0,Shivajinagar,Quick Bites,North Indian,100.0,Dine-out,0
Hotel Rasai,No,No,3.700141861024285,0,Rajajinagar,Quick Bites,"South Indian, Chinese",150.0,Dine-out,0
Five Satr Chiken,No,No,3.700141861024285,0,Bellandur,Quick Bites,Fast Food,300.0,Delivery,0
Barbeque Station,Yes,No,2.8,152,Koramangala 7th Block,Casual Dining,others,700.0,Delivery,0
Zed Cafe,No,No,3.700141861024285,0,BTM,Quick Bites,others,350.0,Dine-out,0
Sri Sairam's Chats and Juice,No,No,4.2,471,Malleshwaram,Quick Bites,Street Food,100.0,Dine-out,1
The Grillo,Yes,Yes,2.8,80,Jayanagar,Casual Dining,others,700.0,Delivery,0
Kolkata Kathi Rolls,Yes,No,3.8,23,JP Nagar,Quick Bites,others,150.0,Delivery,0
The Mughal's,Yes,No,3.7,89,Frazer Town,Quick Bites,others,400.0,Delivery,0
Omleterian,Yes,No,3.700141861024285,0,JP Nagar,Delivery,others,200.0,Delivery,0
Snow Gola,No,No,3.7,17,Brigade Road,Dessert Parlor,Desserts,150.0,Desserts,0
Terra Bites,Yes,No,4.0,66,Koramangala 4th Block,others,others,700.0,Dine-out,1
Volga Restaurant,Yes,No,3.7,294,Electronic City,Casual Dining,others,500.0,Dine-out,0
Maa'r Rannaghor,Yes,No,3.8,21,JP Nagar,Quick Bites,others,400.0,Dine-out,0
Kamat's Palate Korner,No,No,4.1,121,Richmond Road,Casual Dining,"North Indian, Chinese",600.0,Delivery,1
Chung Wah,Yes,No,4.0,314,Koramangala 5th Block,Casual Dining,others,800.0,Delivery,1
Mycakeshop,Yes,No,3.700141861024285,0,BTM,Bakery,"Bakery, Desserts",300.0,Desserts,0
Anupam's Coast II Coast,Yes,No,4.1,845,Koramangala 6th Block,Casual Dining,others,700.0,Dine-out,1
Chai Days,Yes,No,4.4,105,Indiranagar,Cafe,others,200.0,Dine-out,1
Aamaravathi Biryani Zone,Yes,No,3.700141861024285,0,Electronic City,Delivery,Biryani,300.0,Delivery,0
Indian Spice Food,Yes,No,3.7,24,Ulsoor,Quick Bites,"North Indian, Chinese",300.0,Dine-out,0
Eden Huts Restaurant,No,No,4.0,213,Bellandur,Casual Dining,"Chinese, North Indian",400.0,Delivery,1
Basava Hotel,No,No,3.700141861024285,0,BTM,Quick Bites,South Indian,200.0,Dine-out,0
Good Bread,No,No,3.6,14,JP Nagar,Bakery,"Bakery, Desserts",300.0,Delivery,0
Shiv Sagar,No,No,3.700141861024285,0,MG Road,Casual Dining,"South Indian, North Indian, Chinese",800.0,Delivery,0
Hotel Nisarga,No,No,3.2,5,Banashankari,Quick Bites,"North Indian, South Indian",250.0,Dine-out,0
Vijayalakshmi Veg,Yes,No,3.9,100,Jayanagar,Quick Bites,South Indian,200.0,Delivery,0
Potful,Yes,No,4.1,1125,Domlur,Delivery,others,650.0,Delivery,1
Time Traveller - Sai Vishram,Yes,No,4.2,882,Electronic City,Casual Dining,others,1100.0,Dine-out,1
Slo' Food Co.2,No,No,3.7,42,Ulsoor,Casual Dining,others,2000.0,Dine-out,0
Archana's First Crush,Yes,No,3.7,31,Sarjapur Road,Bakery,"Bakery, Desserts",400.0,Delivery,0
Dyu Art Cafe,No,No,4.5,3849,Koramangala 5th Block,Cafe,others,800.0,Cafes,1
The LaLiT Boulangerie - The LaLiT Ashok Bangalore,No,No,3.2,33,others,others,"Bakery, Desserts",600.0,Desserts,0
Starter House,Yes,No,3.700141861024285,0,Whitefield,Quick Bites,others,250.0,Delivery,0
Zanzibar - Davanam Sarovar Portico Suites,No,No,3.5,39,BTM,others,Finger Food,1200.0,Dine-out,0
RB Food Point,Yes,No,3.9,44,BTM,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
Rasovara,Yes,Yes,4.3,772,Lavelle Road,Casual Dining,others,1400.0,Delivery,1
Kaati Zone,Yes,No,3.4,6,Koramangala 6th Block,Quick Bites,others,350.0,Delivery,0
Kitchen King,No,No,3.700141861024285,0,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",250.0,Delivery,0
Akshaya Sambrama Veg Restaurant,No,No,3.2,13,others,Quick Bites,"South Indian, Chinese",200.0,Dine-out,0
18+ Ice Cafe,No,No,3.5,25,Kammanahalli,Cafe,others,550.0,Dine-out,0
Feel@Home,Yes,No,3.6,42,Marathahalli,"Takeaway, Delivery","North Indian, Chinese",300.0,Delivery,0
Cafe Coffee Day,Yes,No,2.9,27,Sarjapur Road,Cafe,"Cafe, Fast Food",900.0,Delivery,0
Creamiester,No,No,3.700141861024285,0,Whitefield,Dessert Parlor,"Ice Cream, Desserts",300.0,Delivery,0
Xpress Biryani,Yes,No,4.3,152,Ulsoor,Casual Dining,others,650.0,Delivery,1
Skyline Family Restaurant,Yes,No,3.2,34,Shanti Nagar,Casual Dining,others,550.0,Dine-out,0
The Cakesplorer,No,No,3.700141861024285,0,Electronic City,Delivery,Bakery,400.0,Delivery,0
Spicy Gobi Magic,No,No,3.700141861024285,0,Shanti Nagar,Quick Bites,others,150.0,Dine-out,0
Sambram Biriyani Paradise,Yes,No,3.6,97,JP Nagar,Casual Dining,"Biryani, North Indian, Chinese",600.0,Delivery,0
HSR High Street,No,Yes,3.8,321,HSR,Casual Dining,others,800.0,Delivery,0
Lyengar's Cakes N Cookies,Yes,No,3.700141861024285,0,Bannerghatta Road,Bakery,"Bakery, Desserts",400.0,Delivery,0
Ice N Spice,No,No,3.7,17,MG Road,Dessert Parlor,Desserts,200.0,Desserts,0
Cafe Frying Wagon,Yes,No,3.700141861024285,0,others,Quick Bites,others,400.0,Delivery,0
Namak Swad Anusaar,Yes,No,3.8,155,Marathahalli,Quick Bites,others,400.0,Dine-out,0
MealsTree,Yes,No,3.6,162,Marathahalli,Delivery,North Indian,400.0,Delivery,0
@Italy,Yes,No,4.1,305,others,Casual Dining,others,700.0,Delivery,1
Q3 Food Corner,No,No,3.700141861024285,0,New BEL Road,Casual Dining,"South Indian, North Indian",500.0,Delivery,0
Ahmad's Chicken Hut,No,No,3.2,9,Banaswadi,Quick Bites,"North Indian, Chinese",200.0,Dine-out,0
CakeZone,No,No,3.9,124,Koramangala 4th Block,Bakery,"Bakery, Desserts",500.0,Desserts,0
Maven Foods,No,No,3.6,12,Koramangala 4th Block,Quick Bites,others,650.0,Dine-out,0
Balaji Bombay Vada Pav Gujrati Dalebi,Yes,No,3.8,37,JP Nagar,others,others,150.0,Delivery,0
Pai Vihar,Yes,No,2.8,56,others,Quick Bites,others,400.0,Delivery,0
Anand Donne Biriyani,Yes,No,3.7,46,Jayanagar,Quick Bites,Biryani,200.0,Dine-out,0
Hotel Metropole,No,No,2.9,18,Shivajinagar,Quick Bites,"North Indian, Chinese, South Indian",400.0,Dine-out,0
Chung Wah Opus,Yes,No,3.0,57,JP Nagar,Casual Dining,"Chinese, Thai",650.0,Delivery,0
Shivshankar Hotel,No,No,3.700141861024285,0,Electronic City,Quick Bites,"North Indian, Chinese",350.0,Delivery,0
Rajdhani Thali Restaurant,Yes,Yes,4.0,610,Malleshwaram,Casual Dining,North Indian,1000.0,Dine-out,1
Sherlock's Pub,No,Yes,3.9,579,Koramangala 5th Block,others,others,1300.0,Pubs and bars,0
The US Burger,No,No,3.0,13,Electronic City,Quick Bites,Fast Food,150.0,Delivery,0
The Coorg Food Co.,Yes,Yes,4.3,473,Kalyan Nagar,Casual Dining,South Indian,750.0,Delivery,1
Shake The Shake,Yes,No,3.700141861024285,0,Bannerghatta Road,Quick Bites,others,200.0,Delivery,0
Al Kabab Corner,No,No,3.700141861024285,0,others,Quick Bites,"Chinese, North Indian",350.0,Delivery,0
Sunny Side Bistro,Yes,No,3.8,362,Frazer Town,Cafe,"Cafe, Continental",700.0,Delivery,0
Lucky's Biriyani Point,Yes,No,3.4,9,HSR,"Takeaway, Delivery",others,400.0,Delivery,0
Fitnest,Yes,No,3.2,16,BTM,Delivery,others,350.0,Delivery,0
Loyal Food,Yes,No,3.2,17,Indiranagar,Quick Bites,Continental,500.0,Delivery,0
Sandhya Sagar,No,No,3.700141861024285,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, South Indian",300.0,Delivery,0
Virgins,No,No,3.700141861024285,0,Ejipura,Quick Bites,Fast Food,150.0,Delivery,0
The Crust Factory,Yes,No,3.5,11,others,others,others,400.0,Delivery,0
Breaktime Brew,Yes,No,3.7,24,Koramangala 7th Block,Cafe,Cafe,550.0,Dine-out,0
Paratha House,Yes,No,3.6,33,Electronic City,Quick Bites,"North Indian, Chinese",350.0,Delivery,0
Quench & Crunch,Yes,No,3.6,23,Shanti Nagar,others,"Beverages, Fast Food",150.0,Delivery,0
Chugg,No,Yes,4.0,749,Church Street,others,others,1100.0,Dine-out,1
Indish Flavour,No,No,3.700141861024285,0,others,Quick Bites,"North Indian, Chinese, Biryani",450.0,Delivery,0
Kadalu Sea Food Restaurant,Yes,No,3.8,153,others,others,others,500.0,Delivery,0
Ajwa Thalassery Biryani,Yes,Yes,3.9,44,Sarjapur Road,Quick Bites,"Biryani, South Indian",500.0,Delivery,0
The Irish House,No,Yes,4.3,1776,Whitefield,others,others,1700.0,Pubs and bars,1
Annam Ilaiyil,No,No,3.700141861024285,0,Bannerghatta Road,Quick Bites,South Indian,450.0,Delivery,0
Chef Baker's,Yes,No,3.6,37,Koramangala 1st Block,others,Bakery,450.0,Delivery,0
Ambur Darbar Biriyani Point,Yes,No,3.2,24,others,Quick Bites,Biryani,200.0,Delivery,0
Mad Over Biryani,Yes,No,2.9,17,Church Street,Quick Bites,"North Indian, Biryani",600.0,Delivery,0
Senthur Cafe,No,No,3.700141861024285,0,Koramangala 7th Block,Quick Bites,others,100.0,Dine-out,0
Olive Garden,Yes,No,3.7,214,Kalyan Nagar,Casual Dining,others,700.0,Dine-out,0
Hotel Halli Nenapu,Yes,No,3.4,62,Malleshwaram,others,South Indian,500.0,Delivery,0
Petoo,Yes,No,3.9,20,Jayanagar,Quick Bites,others,800.0,Delivery,0
Sai Canteen,No,No,3.700141861024285,0,Whitefield,Quick Bites,others,200.0,Dine-out,0
Hotel Chandrika,Yes,No,3.8,210,Cunningham Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400.0,Delivery,0
Manhattan,No,No,3.700141861024285,0,Lavelle Road,others,others,1000.0,Dine-out,0
Vasanth Vihar - Since 1965,Yes,No,3.6,95,Banashankari,Quick Bites,others,150.0,Dine-out,0
